record_id,N,k_preserved,s_hat,ties,contradictions,wilson_lower,wilson_upper,verdict,verdict_change_from_N80,method
EX-C3,80,62,0.7750,18,0,0.6721,0.8527,Unresolved,(baseline),re-sampled seed expansion (validated reconstruction)
EX-C3,160,124,0.7750,36,0,0.7043,0.8328,Unresolved,no,re-sampled seed expansion (validated reconstruction)
EX-C3,240,184,0.7667,56,0,0.7092,0.8157,Unresolved,no,re-sampled seed expansion (validated reconstruction)
EX-C3,320,243,0.7594,77,0,0.7096,0.8030,Unresolved,no,re-sampled seed expansion (validated reconstruction)
EX-C5,80,44,0.5500,15,21,0.4412,0.6542,Unresolved,(baseline),re-sampled seed expansion (validated reconstruction)
EX-C5,160,91,0.5687,21,48,0.4913,0.6430,Unresolved,no,re-sampled seed expansion (validated reconstruction)
EX-C5,240,136,0.5667,32,72,0.5034,0.6278,Unresolved,no,re-sampled seed expansion (validated reconstruction)
EX-C5,320,180,0.5625,50,90,0.5077,0.6158,Unresolved,no,re-sampled seed expansion (validated reconstruction)
EX-C6,80,34,0.4250,26,20,0.3226,0.5343,Unresolved,(baseline),re-sampled seed expansion (validated reconstruction)
EX-C6,160,69,0.4313,51,40,0.3570,0.5087,Unresolved,no,re-sampled seed expansion (validated reconstruction)
EX-C6,240,106,0.4417,74,60,0.3803,0.5049,Unresolved,no,re-sampled seed expansion (validated reconstruction)
EX-C6,320,144,0.4500,94,82,0.3964,0.5048,Unresolved,no,re-sampled seed expansion (validated reconstruction)
EX-C7,80,0,0.0000,18,62,0.0000,0.0458,Reversed,(baseline),re-sampled seed expansion (validated reconstruction)
EX-C7,160,0,0.0000,36,124,0.0000,0.0234,Reversed,no,re-sampled seed expansion (validated reconstruction)
EX-C7,240,0,0.0000,56,184,0.0000,0.0158,Reversed,no,re-sampled seed expansion (validated reconstruction)
EX-C7,320,0,0.0000,77,243,0.0000,0.0119,Reversed,no,re-sampled seed expansion (validated reconstruction)
