count_name,count,source_file,filter_definition,notes
accepted_comparative_claims,455,artifact/corrected_headline_counts.csv; artifact/source_grounded_claim_adjudication.csv; artifact/field_study/claims/rq1_claim_decisions_457.csv,final_accepted_comparative_claim == true,"Paper-facing corrected count with a derived row-level decision crosscheck; two Layer-1 strict-reading demotions yield 455."
claim_card_specifiable_under_relation_schema,175,artifact/field_study/claims/rq1_claim_decisions_457.csv,final_claim_card_specifiable == true,Relation-agnostic claim-card specification count (prior 166).
scalar_directional,145,artifact/field_study/claims/rq1_claim_decisions_457.csv,final_scalar_directional == true,Scalar directional instantiation of the relation schema (prior 142).
planning_feasible_relation_aware,93,artifact/field_study/claims/rq1_claim_decisions_457.csv,final_planning_feasible == true,Includes 14 non-scalar relation-aware planning candidates (prior 92).
scalar_oriented_planning_records,79,artifact/field_study/claims/rq1_claim_decisions_457.csv,final_scalar_oriented_planning == true,Equals final scalar-directional intersection final planning-feasible (prior 78).
non_scalar_relation_typed_specifiable,30,artifact/field_study/claims/rq1_claim_decisions_457.csv,final_claim_card_specifiable == true and final_scalar_directional == false,"30 = 26 multi-objective + 2 categorical/equality + 2 crossover/regional (prior 24 = 23 + 1 + 0)."
perturbation_audit_candidates,77,artifact/corrected_headline_counts.csv; artifact/external_audit/materialization/materialization_tiers_76.csv,perturbation_audit_candidate == true,"Corrected to 77; locked materialization-tier census file retains 76 pre-adjudication rows (8 T1, 58 T3, 10 T4)."
verification_only,2,artifact/field_study/claims/relation_schema_rq1_flags.csv,verification_only == true; operationalizability_category == verification_eligible_operationalizable,"Deterministic verification records, not perturbation-audit candidates (unchanged)."
scalar_directional_outside_scalar_oriented_planning,66,artifact/corrected_headline_counts.csv; artifact/field_study/claims/relation_schema_rq1_flags.csv,scalar_directional == true and planning_feasible == false,"145 - 79 = 66 (prior 64): 62 lack public artifact/support, 6 require real hardware/noise, 2 in both."
broader_auditable_designs,53,artifact/field_study/rq1_materialization_barrier_taxonomy.csv; artifact/field_study/rq1_materialization_barrier_records_79.csv,exact + source-materialized + source-supported-extension dispositions over the 79 planning records,"Six-row manuscript summary plus complete row-level inspection file: 53 = 8 exact + 2 source-materialized + 43 source-supported extensions."
proxy_free_materialized_rq2_cards,8,artifact/field_study/claims/relation_schema_rq1_flags.csv; paper/output/figures/section5/external_forest_data.csv,materialized_rq2 == true; row appears in external_forest_data.csv,"Current RQ2 scalar Wilson card surface, EX-C1--EX-C8 (unchanged). 2 Sustained / 4 Unresolved / 2 Reversed unchanged."
remaining_scalar_oriented_planning_not_materialized,71,artifact/corrected_headline_counts.csv; artifact/field_study/claims/relation_schema_rq1_flags.csv,scalar_oriented_planning == true and materialized_rq2 == false,"79 - 8 = 71 (prior 70): 58 T3, 10 T4, 2 verification-only, and 1 adjudication-add candidate not in the locked 76-row census."
